dataset_variant,training_variant,Recall@10,Recall@20,Recall@50,Tail_Recall@50,MRR@10,NDCG@10,selection_score,sessions,users,items,mean_completion_pct,median_completion_pct,chapter_end_rate,mid_chapter_rate,abandon_early_rate,steady_rate,dataset_rationale,training_rationale
long_tail_harder,ultra_low_hardneg_tail,0.006573083778966132,0.012254901960784314,0.02662655971479501,0.008165487207403375,0.0020512371615312793,0.003090943460813163,0.03403622027593364,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Keeps hard-negative mining only as a weak ordering regularizer after tail oversampling.
calibrated_balanced,phase1_tail_weightdecay_lr3e4,0.006615521458750278,0.011396486546586614,0.026100733822548367,0.008603790023959921,0.0020939554941389496,0.003127321058235706,0.033858895478611976,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,Adds stronger regularization to reduce embedding overfit on sparse implicit labels.
calibrated_balanced,phase1_tail_lr2e4_long,0.006309762063597954,0.011896820102290416,0.02682343784745386,0.007405793944674363,0.0021931728736265094,0.0031420112697698346,0.03371157934180872,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,Longer conservative phase-1-only run for stable top-k ranking.
long_tail_harder,phase1_tail_weightdecay_lr3e4,0.006545231729055258,0.0120599376114082,0.02687722816399287,0.00718562874251497,0.0021793455387205387,0.0031784888871690294,0.03360590832735149,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Adds stronger regularization to reduce embedding overfit on sparse implicit labels.
long_tail_harder,phase1_tail_lr2e4_long,0.006405971479500891,0.012338458110516934,0.027879901960784315,0.00587915078933043,0.0020040434102934104,0.0030074151471758607,0.03354212969214946,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Longer conservative phase-1-only run for stable top-k ranking.
long_tail_harder,phase1_tail_strong_lr3e4,0.00598819073083779,0.011614304812834224,0.02687722816399287,0.0069678824169842135,0.0018425346780126192,0.0027933791928838156,0.03326211844445514,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Stronger tail-positive oversampling for weak tail recall.
long_tail_harder,phase1_tail_lr1e4_long,0.005932486631016043,0.012199197860962567,0.028325534759358287,0.005008165487207403,0.001877902360439125,0.002804573343208402,0.033252277800675724,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Very conservative long run; tests whether prior models were under-optimized rather than structurally limited.
long_tail_harder,phase1_tail_lr3e4,0.006656639928698752,0.01222704991087344,0.02807486631016043,0.005117038649972781,0.0021574949424214133,0.003196032721909625,0.03325102721372277,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,More conservative LR to test if ranking stability improves.
diverse_taste_clusters,phase1_tail_extreme_lr2e4,0.005473286472369628,0.010557608423860195,0.02508821159669936,0.009253281687109963,0.0014978992828852521,0.0024047431519750176,0.033003833470746896,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,Extreme tail-positive oversampling; useful to prove when tail boosting starts hurting head relevance.
calibrated_balanced,late_mild_hardneg_tail,0.0061151879030464755,0.010840560373582388,0.025655992884144985,0.008059246351557395,0.0020006834362237963,0.0029431760279528016,0.032936392513857174,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,"Delays hard negatives until the towers are stable, then applies very low hard-negative pressure."
baseline_legacy_enriched,phase1_tail_extreme_lr2e4,0.005613450048631374,0.010726691677087676,0.023954425455050717,0.01044695745826602,0.0018008605878551689,0.0026832292445125457,0.032910666006842164,239904,4000,8000,0.10006936107776446,0.06,0.0019549486461251167,0.9980450513538749,0.9920343137254902,0.007965686274509803,"Control run: original simulator pressure with richer catalog text. If this loses, the issue is behavioral calibration, not only content text.",Extreme tail-positive oversampling; useful to prove when tail boosting starts hurting head relevance.
tail_discovery_stress,ultra_low_hardneg_tail,0.00636871819117279,0.011680618516561448,0.02628139166226326,0.007103048847120533,0.00209438875623485,0.0030724516632000334,0.03290038840246238,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,Keeps hard-negative mining only as a weak ordering regularizer after tail oversampling.
tail_discovery_stress,phase1_tail_lr3e4,0.006313096198236783,0.011680618516561448,0.027699752482131433,0.005136050704841001,0.002167580235828421,0.0031205439157642387,0.03287382154866035,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,More conservative LR to test if ranking stability improves.
tail_discovery_stress,phase1_tail_lr2e4_long,0.006785883138192841,0.012431515421197541,0.027727563478599438,0.005026773030269916,0.002164368727902949,0.003220666096554665,0.03284390195741628,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,Longer conservative phase-1-only run for stable top-k ranking.
calibrated_balanced,ultra_low_hardneg_tail,0.006365354680898377,0.011368690237936402,0.025628196575494776,0.007732520148115879,0.0020252037513545187,0.0030233057815478134,0.032689714069807266,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,Keeps hard-negative mining only as a weak ordering regularizer after tail oversampling.
calibrated_balanced,phase1_tail_lr3e4,0.0059762063597954196,0.0111185234600845,0.026545474760951746,0.006207797865388804,0.0020265494456621876,0.002933740529284602,0.03244139565373005,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,More conservative LR to test if ranking stability improves.
long_tail_harder,pop_balanced_hardneg,0.00615530303030303,0.011475044563279857,0.026375891265597147,0.006205770277626565,0.001951533454290807,0.0029148922675952993,0.0322468254042886,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Tests popularity-balanced hard-negative mining against phase-1-only training.
calibrated_balanced,phase1_tail_lr1e4_long,0.006281965754947743,0.012174783188792528,0.026156326439848786,0.00631670659986931,0.0020250824182612044,0.0029931231101905536,0.032148407771863716,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,Very conservative long run; tests whether prior models were under-optimized rather than structurally limited.
diverse_taste_clusters,phase1_tail_strong_lr3e4,0.005945600533437057,0.011029922484927625,0.024754813435945877,0.008284914998924036,0.0018083763200869305,0.002753439019264926,0.03210895351997687,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,Stronger tail-positive oversampling for weak tail recall.
high_completion_stress,phase1_tail_strong_lr3e4,0.005392184112513202,0.010284062482628272,0.025654566679637555,0.007151370679380214,0.0016871642017564526,0.002538831505354176,0.03207459361595037,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Stronger tail-positive oversampling for weak tail recall.
long_tail_harder,phase1_tail_lr7e4,0.006823752228163993,0.01197638146167558,0.02721145276292335,0.00457267283614589,0.0020491924673909966,0.003140566014030307,0.031938397010388093,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Middle learning-rate point between the old 1e-3 and previous best 5e-4.
app_like_balanced,phase1_tail_weightdecay_lr3e4,0.005560807429238725,0.010315297781237836,0.02591336262025246,0.0064047822374039285,0.0018990378037811726,0.00273918725361048,0.03187650556265332,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Adds stronger regularization to reduce embedding overfit on sparse implicit labels.
tail_discovery_stress,phase1_tail_lr5e4,0.007063993102872876,0.012570570403537559,0.027727563478599438,0.003496885586274724,0.002068796017818461,0.0032127023834827447,0.03167060226863078,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,Previous best family: lower LR with tail-positive oversampling.
app_like_balanced,ultra_low_hardneg_tail,0.0056442195406773065,0.011149418895623644,0.026163598954568202,0.0056575576430401365,0.0019054592123601741,0.0027615169178866355,0.03157351121941001,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Keeps hard-negative mining only as a weak ordering regularizer after tail oversampling.
tail_discovery_stress,phase1_tail_lr1e4_long,0.006758072141724838,0.012459326417665544,0.027282587535111383,0.003933996284559064,0.002017720902082779,0.003106000741513307,0.031514015159429705,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,Very conservative long run; tests whether prior models were under-optimized rather than structurally limited.
high_completion_stress,phase1_tail_lr3e4,0.005975874145311024,0.011479237311690477,0.026794151981766635,0.004659226351717413,0.0018094280720052024,0.0027647498567427136,0.031432116227741676,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,More conservative LR to test if ranking stability improves.
long_tail_harder,phase1_tail_lr5e4,0.006600935828877006,0.012338458110516934,0.027545677361853833,0.0034839412084921068,0.0019124963748125515,0.002978534764589511,0.03138139105307343,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Previous best family: lower LR with tail-positive oversampling.
high_completion_stress,ultra_low_hardneg_tail,0.005697926510645395,0.010200678192228585,0.024709544721774418,0.007476432982988406,0.0015839154792126053,0.0025233069615989007,0.031343675069218604,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Keeps hard-negative mining only as a weak ordering regularizer after tail oversampling.
diverse_taste_clusters,late_mild_hardneg_tail,0.006028950073625427,0.011530019726057845,0.02600505653877143,0.005379814934366258,0.0020542023382853544,0.0029589143912135117,0.031293196921920834,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,"Delays hard negatives until the towers are stable, then applies very low hard-negative pressure."
app_like_balanced,phase1_tail_lr2e4_long,0.005894455874993049,0.011761107712839905,0.027331368514708337,0.0037361229718189583,0.0017393852571520368,0.002682881065695383,0.031239027324284407,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Longer conservative phase-1-only run for stable top-k ranking.
baseline_legacy_enriched,phase1_tail_weightdecay_lr3e4,0.005363345838543838,0.009809642906766709,0.0240100041684035,0.008077544426494346,0.0017467044249036745,0.002577812882105181,0.031149291815026472,239904,4000,8000,0.10006936107776446,0.06,0.0019549486461251167,0.9980450513538749,0.9920343137254902,0.007965686274509803,"Control run: original simulator pressure with richer catalog text. If this loses, the issue is behavioral calibration, not only content text.",Adds stronger regularization to reduce embedding overfit on sparse implicit labels.
tail_discovery_stress,late_mild_hardneg_tail,0.006090608226492755,0.011819673498901466,0.025947659704647217,0.005136050704841001,0.0021962961932926054,0.0030876137233333584,0.031120675212434456,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,"Delays hard negatives until the towers are stable, then applies very low hard-negative pressure."
high_completion_stress,phase1_tail_lr1e4_long,0.006365000833842904,0.011534826838623603,0.026710767691366946,0.00422580994690649,0.001860826325082259,0.002886164352960159,0.03106687282105742,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Very conservative long run; tests whether prior models were under-optimized rather than structurally limited.
high_completion_stress,late_mild_hardneg_tail,0.005197620768247262,0.011145700150091723,0.026099282895102563,0.005200996857731065,0.001731977743012264,0.002522795585786391,0.031063723870600524,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,"Delays hard negatives until the towers are stable, then applies very low hard-negative pressure."
high_completion_stress,phase1_tail_lr2e4_long,0.005781310801045083,0.011090110623158596,0.026710767691366946,0.004334164048109221,0.0016921827007156931,0.002629123930039744,0.031041717385137724,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Longer conservative phase-1-only run for stable top-k ranking.
calibrated_balanced,phase1_tail_lr7e4,0.0065599288414498556,0.012063597954191683,0.02682343784745386,0.003811805706817687,0.0021470332073234006,0.0031558002770618056,0.031008000498663424,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,Middle learning-rate point between the old 1e-3 and previous best 5e-4.
app_like_balanced,phase1_tail_lr1e4_long,0.005533003392092532,0.011149418895623644,0.02683089584607685,0.003949615713065756,0.0017633055557762225,0.002626615273142032,0.030890587838105735,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Very conservative long run; tests whether prior models were under-optimized rather than structurally limited.
calibrated_balanced,phase1_tail_lr5e4,0.007004669779853236,0.012313764732043585,0.026128530131198577,0.004356349379220213,0.002465510516711317,0.003510292600379752,0.030889742944886504,239841,4000,8000,0.28903169182917016,0.19,0.0638589732364358,0.9361410267635641,0.8784319611742779,0.12156803882572204,Lower transition exits and stronger engagement to fix the prior near-total abandonment problem.,Previous best family: lower LR with tail-positive oversampling.
diverse_taste_clusters,ultra_low_hardneg_tail,0.005639985552746367,0.010418692523546245,0.02406023393437613,0.007208952012050785,0.0018887711411257656,0.002758277431798482,0.030628710086645278,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,Keeps hard-negative mining only as a weak ordering regularizer after tail oversampling.
long_tail_harder,mild_hardneg_tail,0.006405971479500891,0.01214349376114082,0.026905080213903743,0.0031573217201959717,0.002167375788699318,0.0031342433099483414,0.030598476278712636,239362,4000,8000,0.20374888244583517,0.12,0.023533392936222124,0.9764666070637779,0.9423174940048964,0.05768250599510365,Keeps the task harder with sharper user/item taste clusters and stronger long-tail separation.,Tests whether hard negatives work only when their loss is heavily downweighted.
high_completion_stress,phase1_tail_lr5e4,0.005781310801045083,0.011368058257824226,0.02740563677803102,0.002708852530068263,0.0016862707986450272,0.0026252818269997696,0.030515164331993416,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Previous best family: lower LR with tail-positive oversampling.
diverse_taste_clusters,phase1_tail_lr3e4,0.005834467813185897,0.011196621565304364,0.025866140638457477,0.004519044544867657,0.0018092032004459419,0.0027330623436696818,0.030390990433137127,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,More conservative LR to test if ranking stability improves.
app_like_balanced,phase1_tail_lr3e4,0.005032530723461047,0.011093810821331257,0.02630261914029917,0.0040563620836891546,0.0016428765615497528,0.0024152698257158198,0.030359427299882433,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",More conservative LR to test if ranking stability improves.
baseline_legacy_enriched,phase1_tail_lr2e4_long,0.006113658468806447,0.010837849103793247,0.025566208142281506,0.004738826063543349,0.0018377255955413522,0.0028060977855053786,0.0302812835352007,239904,4000,8000,0.10006936107776446,0.06,0.0019549486461251167,0.9980450513538749,0.9920343137254902,0.007965686274509803,"Control run: original simulator pressure with richer catalog text. If this loses, the issue is behavioral calibration, not only content text.",Longer conservative phase-1-only run for stable top-k ranking.
app_like_balanced,late_mild_hardneg_tail,0.005727631652115887,0.010899182561307902,0.026107990880275815,0.0040563620836891546,0.0016530603418219501,0.002584783580032228,0.030209723423506224,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.","Delays hard negatives until the towers are stable, then applies very low hard-negative pressure."
app_like_balanced,phase1_tail_lr7e4,0.006005672023577824,0.011900127898570872,0.026636267586053496,0.0030956447480785655,0.0018408037926472003,0.0027929435429176423,0.030116437981003632,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Middle learning-rate point between the old 1e-3 and previous best 5e-4.
diverse_taste_clusters,phase1_tail_lr2e4_long,0.005890034173311477,0.011335537465618314,0.0260884060789598,0.0037658704540563803,0.001834340363359895,0.002761732613346325,0.03006182716367864,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,Longer conservative phase-1-only run for stable top-k ranking.
high_completion_stress,phase1_tail_weightdecay_lr3e4,0.005531157929846017,0.010617599644227028,0.025237645227639112,0.004767580452920143,0.0017830340763800101,0.00263928202170912,0.029918909591851502,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Adds stronger regularization to reduce embedding overfit on sparse implicit labels.
tail_discovery_stress,phase1_tail_lr7e4,0.005868120254748727,0.011374697555413411,0.025752982729371193,0.003933996284559064,0.0018752999062813561,0.0027959615389127656,0.02987129530408902,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,Middle learning-rate point between the old 1e-3 and previous best 5e-4.
diverse_taste_clusters,phase1_tail_lr1e4_long,0.0057233350929347376,0.011057705664990414,0.0258105742783319,0.0037658704540563803,0.0018750780023805336,0.00275943077805663,0.029793604313983472,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,Very conservative long run; tests whether prior models were under-optimized rather than structurally limited.
app_like_balanced,phase1_tail_lr5e4,0.005338375132069176,0.010843574487015515,0.026525051437468722,0.0028821520068317676,0.0017246226374291768,0.0025555211681036866,0.02975670139397576,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Previous best family: lower LR with tail-positive oversampling.
diverse_taste_clusters,pop_balanced_hardneg,0.006167865973939377,0.011002139304864834,0.02492151251632262,0.004519044544867657,0.0022179466995125596,0.0031247636812160337,0.02964647352015551,239954,4000,8000,0.2909928986389058,0.19,0.0663752219175342,0.9336247780824658,0.8769972578077465,0.12299440726139177,Sharper taste clusters and richer topical separation to test whether personalization improves with more learnable structure.,Tests popularity-balanced hard-negative mining against phase-1-only training.
tail_discovery_stress,pop_balanced_hardneg,0.00653558416998081,0.011068776594265372,0.025308006785883137,0.003933996284559064,0.0021155118702188814,0.003132297618051524,0.029570456371370037,239716,4000,8000,0.22118911545328643,0.14,0.03034424068481036,0.9696557593151897,0.9305219509753208,0.0694780490246792,Harder tail-discovery setting with lower average quality and very sharp item niches.,Tests popularity-balanced hard-negative mining against phase-1-only training.
baseline_legacy_enriched,late_mild_hardneg_tail,0.005168820341809087,0.010031957760177852,0.02389884674169793,0.005815831987075929,0.0013919379988575487,0.002258084028836055,0.029173226238928276,239904,4000,8000,0.10006936107776446,0.06,0.0019549486461251167,0.9980450513538749,0.9920343137254902,0.007965686274509803,"Control run: original simulator pressure with richer catalog text. If this loses, the issue is behavioral calibration, not only content text.","Delays hard negatives until the towers are stable, then applies very low hard-negative pressure."
high_completion_stress,pop_balanced_hardneg,0.004808494079715382,0.009839346267163266,0.024765134248707542,0.004550872250514682,0.0016068240997364352,0.002341880616372452,0.029165464615620775,239857,4000,8000,0.4889013036934507,0.4,0.22743551366022255,0.7725644863397775,0.699003989877302,0.30098767182112673,Tests whether retrieval improves when labels contain many clear positive completions.,Tests popularity-balanced hard-negative mining against phase-1-only training.
app_like_balanced,pop_balanced_hardneg,0.004921314574876272,0.010982594672746484,0.024745593060112328,0.004696840307429547,0.0013509783049070153,0.0021661633165722914,0.029147508696054317,239778,4000,8000,0.3687905896287399,0.26,0.119685709281085,0.880314290718915,0.8102786744405241,0.18970881398627062,"More app-like engagement distribution: less brittle exits, stronger taste clusters, and moderate completion signal.",Tests popularity-balanced hard-negative mining against phase-1-only training.
